Göstərici,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
tranzit (min ton),6871.0,7478.0,4585.0,4132.0,3796.0,3045.0,3346.0,3787.0,3926.0,4502.0,6632.0,7392.0,7870.0,8254.0,6455.0,5959.0,5589.0,6099.0,7328.0,7403.0,9143.0,7895.0,7119.0,3538.0,2525.0,806.0,674.0,815.0
tranzit (min ton),8028.3,6061.3,4241.0,4331.7,4288.8,6535.5,6871.7,4208.3,5567.4,8296.3,8241.5,8621.1,8430.5,7718.2,6836.6,5594.7,5355.6,5907.0,7723.0,7841.4,9721.8,8520.0,7233.0,5034.0,3732.0,3577.0,1671.2,788.0
tranzit (mln ton km),3668.0,4040.0,2272.0,2120.0,2104.0,1615.0,1758.0,1981.0,2195.0,2330.0,3297.0,3633.0,3807.0,4041.0,3226.0,3174.0,3055.0,3296.0,2595.0,3824.0,4675.0,4084.0,3615.0,1757.0,1250.0,423.0,332.0,358.0
xarici limanlararası (min ton),683.6,867.1,905.6,957.4,1141.3,1141.3,853.4,749.1,487.4,367.8,548.3,944.9,1135.1,1670.7,4726.9,4515.3,3430.4,6101.0,4818.0,4148.3,2924.3,2470.4,2222.0,2896.7,2537.7,2359.2,3378.6,2085.5
xarici əlaqə (min manat),3923.3,6179.3,2995.9,1128.2,2284.4,1615.1,931.9,698.1,812.3,1010.4,1259.0,1512.0,4213.2,1166.5,889.0,940.5,624.8,731.0,684.9,703.6,455.0,515.0,401.0,424.0,381.0,445.6,1073.8,1149.8
xarici əlaqə (min manat),248997.9,236772.3,175601.3,166637.2,177565.6,168951.5,178211.9,158930.4,93133.6,101329.2,96642.0,113068.0,105497.0,106055.4,121586.0,114920.5,99568.3,109941.0,95503.3,99725.0,89318.8,83313.0,71135.0,58429.0,50552.0,53078.0,49478.0,44146.8
xarici əlaqə (min sərnişin),23.7,21.4,17.7,20.4,22.2,15.7,17.1,19.6,8.5,14.7,13.7,17.1,17.3,12.0,10.4,13.7,14.4,17.5,16.9,19.5,13.4,14.0,11.0,12.0,14.0,20.0,43.0,39.0
xarici əlaqə (min ton),9010.8,7229.7,5468.4,5932.7,5957.5,8236.1,8312.3,5783.5,6573.9,9934.1,11499.6,12349.5,12499.1,11666.9,13190.0,11853.6,10157.8,13475.0,13607.0,13204.3,13272.3,11381.1,10247.0,8717.7,7177.7,7809.2,7123.3,5596.8
xarici əlaqə (mln sərnişin/km),11.1,10.2,8.4,9.3,9.5,6.8,7.8,9.0,3.4,5.2,4.8,6.4,6.8,4.5,3.7,4.9,5.2,6.4,7.0,7.0,6.0,6.0,5.0,6.0,6.0,8.0,15.0,12.0
xarici əlaqə (mln ton km),4052.3,3437.5,3093.0,3294.5,3348.2,4575.7,4413.7,3001.8,2933.9,4123.7,4631.8,5056.7,5186.6,4859.1,6173.2,6070.4,5985.8,8038.1,7513.0,6770.0,6555.0,6077.0,5744.0,5181.7,4712.0,4394.4,4951.0,3895.5
yerli (min manat),1476.0,928.0,549.0,224.0,619.0,592.0,481.0,410.0,381.0,358.0,422.0,338.0,384.0,431.0,254.0,415.0,283.0,1692.0,559.0,703.0,363.0,500.0,1504.0,763.0,925.0,1646.0,2448.0,4758.0
yerli (min manat),54615.0,62367.0,32081.0,13049.0,43967.0,36993.0,35281.0,32918.0,33095.0,35800.0,33938.0,24104.0,20647.0,13746.0,9600.0,17561.0,7877.0,6543.0,5593.0,5178.0,4374.0,3922.0,4535.0,3814.0,3385.0,10119.0,19796.0,31487.0
yerli (min sərnişin),727.0,750.0,539.0,167.0,624.0,614.0,589.0,548.0,534.0,552.0,507.0,489.0,425.0,210.0,220.0,484.0,680.0,648.0,566.0,508.0,439.0,404.0,398.0,400.0,384.0,359.0,482.0,556.0
yerli (min ton),6.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,9.0,5.0,3.0,2.0,3.0,5.0,3.0,5.0,8.0,9.0,11.0
yerli (mln sərnişin/km),571.0,684.0,366.0,116.0,418.0,416.0,403.0,364.0,352.0,329.0,293.0,275.0,234.0,116.0,127.0,296.0,395.0,374.0,325.0,293.0,254.0,232.0,229.0,231.0,223.0,257.0,345.0,544.0
yerli (mln ton km),4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0
yerli əlaqə (min manat),9274.0,4827.0,1837.0,2678.0,8617.0,7547.0,7533.0,7717.0,7445.0,9391.0,9766.0,10610.0,10106.0,5346.0,5187.0,5216.0,5349.0,4669.0,4199.0,3520.0,2658.0,2223.0,2115.0,1968.0,2733.0,3685.0,1371.0,1074.0
yerli əlaqə (min manat),59697.0,56707.0,37894.0,35077.0,35654.0,31218.0,30413.0,16695.0,29212.0,23311.0,20328.0,14426.0,22117.0,11873.0,12359.0,25657.0,24523.0,23522.0,22327.0,17402.0,18027.0,14101.0,16176.0,28794.0,27086.0,30292.0,30776.0,32718.0
